CPU (User Time): 97233.2s | CPU (System Time): 24442.36s | Memória Usada: 8186.7421875 MiB de 15752.23046875 MiB | GPU: 30% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97240.26s | CPU (System Time): 24442.6s | Memória Usada: 8165.75390625 MiB de 15752.23046875 MiB | GPU: 25% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97245.21s | CPU (System Time): 24443.1s | Memória Usada: 7366.51953125 MiB de 15752.23046875 MiB | GPU: 30% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97251.95s | CPU (System Time): 24443.6s | Memória Usada: 7971.2109375 MiB de 15752.23046875 MiB | GPU: 25% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97259.2s | CPU (System Time): 24444.07s | Memória Usada: 7948.1015625 MiB de 15752.23046875 MiB | GPU: 33% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97266.82s | CPU (System Time): 24444.52s | Memória Usada: 7957.41796875 MiB de 15752.23046875 MiB | GPU: 25% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97273.52s | CPU (System Time): 24444.96s | Memória Usada: 8028.9609375 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97279.78s | CPU (System Time): 24445.44s | Memória Usada: 8077.8203125 MiB de 15752.23046875 MiB | GPU: 32% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97286.92s | CPU (System Time): 24446.01s | Memória Usada: 8068.48046875 MiB de 15752.23046875 MiB | GPU: 23% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97293.71s | CPU (System Time): 24446.66s | Memória Usada: 8087.6328125 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97299.78s | CPU (System Time): 24447.23s | Memória Usada: 7031.9921875 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97302.44s | CPU (System Time): 24447.81s | Memória Usada: 7487.58984375 MiB de 15752.23046875 MiB | GPU: 18% | GPU Memória: 54 MiB de 6144 MiB
